hours_since_fire,departed_count,departed_share,denominator_q9_answered
145.0,286,0.8666666666666667,330
145.5,286,0.8666666666666667,330
146.0,286,0.8666666666666667,330
146.5,286,0.8666666666666667,330
147.0,286,0.8666666666666667,330
147.5,286,0.8666666666666667,330
148.0,286,0.8666666666666667,330
148.5,286,0.8666666666666667,330
149.0,286,0.8666666666666667,330
149.5,286,0.8666666666666667,330
150.0,286,0.8666666666666667,330
150.5,286,0.8666666666666667,330
151.0,286,0.8666666666666667,330
151.5,286,0.8666666666666667,330
152.0,286,0.8666666666666667,330
152.5,286,0.8666666666666667,330
153.0,286,0.8666666666666667,330
153.5,286,0.8666666666666667,330
154.0,286,0.8666666666666667,330
154.5,286,0.8666666666666667,330
155.0,286,0.8666666666666667,330
155.5,286,0.8666666666666667,330
156.0,286,0.8666666666666667,330
156.5,286,0.8666666666666667,330
157.0,286,0.8666666666666667,330
157.5,286,0.8666666666666667,330
158.0,286,0.8666666666666667,330
158.5,286,0.8666666666666667,330
159.0,286,0.8666666666666667,330
159.5,286,0.8666666666666667,330
160.0,286,0.8666666666666667,330
160.5,286,0.8666666666666667,330
161.0,286,0.8666666666666667,330
161.5,286,0.8666666666666667,330
162.0,286,0.8666666666666667,330
162.5,286,0.8666666666666667,330
163.0,286,0.8666666666666667,330
163.5,286,0.8666666666666667,330
164.0,286,0.8666666666666667,330
164.5,286,0.8666666666666667,330
165.0,286,0.8666666666666667,330
165.5,286,0.8666666666666667,330
166.0,286,0.8666666666666667,330
166.5,286,0.8666666666666667,330
167.0,286,0.8666666666666667,330
167.5,286,0.8666666666666667,330
168.0,286,0.8666666666666667,330
168.5,286,0.8666666666666667,330
169.0,286,0.8666666666666667,330
169.5,286,0.8666666666666667,330
170.0,286,0.8666666666666667,330
170.5,286,0.8666666666666667,330
171.0,286,0.8666666666666667,330
171.5,286,0.8666666666666667,330
172.0,286,0.8666666666666667,330
172.5,286,0.8666666666666667,330
173.0,286,0.8666666666666667,330
173.5,286,0.8666666666666667,330
174.0,286,0.8666666666666667,330
174.5,286,0.8666666666666667,330
175.0,286,0.8666666666666667,330
175.5,286,0.8666666666666667,330
176.0,286,0.8666666666666667,330
176.5,286,0.8666666666666667,330
177.0,286,0.8666666666666667,330
177.5,286,0.8666666666666667,330
178.0,286,0.8666666666666667,330
178.5,286,0.8666666666666667,330
179.0,286,0.8666666666666667,330
179.5,286,0.8666666666666667,330
180.0,286,0.8666666666666667,330
180.5,286,0.8666666666666667,330
181.0,286,0.8666666666666667,330
181.5,286,0.8666666666666667,330
182.0,286,0.8666666666666667,330
182.5,286,0.8666666666666667,330
183.0,286,0.8666666666666667,330
183.5,286,0.8666666666666667,330
184.0,286,0.8666666666666667,330
184.5,286,0.8666666666666667,330
185.0,286,0.8666666666666667,330
185.5,286,0.8666666666666667,330
186.0,286,0.8666666666666667,330
186.5,286,0.8666666666666667,330
187.0,286,0.8666666666666667,330
