donor_id,PUMA,WGTP,NP,TYPE,VEH,HHT,HINCP,household_income,vehicle_count,household_structure,household_older_adult_presence,weight,household_size
donor_h0000809,08900,21,2,1,1.0,3.0,66500.0,60000_74999,1,other_female_householder,no_65_plus,21.0,2
donor_h0000810,08900,12,1,1,1.0,4.0,29620.0,25000_29999,1,nonfamily_living_alone,has_65_plus,12.0,1
donor_h0000811,08900,23,2,1,2.0,1.0,47200.0,45000_49999,2,married_couple,has_65_plus,23.0,2
donor_h0000812,08900,10,2,1,1.0,1.0,19000.0,15000_19999,1,married_couple,has_65_plus,10.0,2
donor_h0000813,08900,10,2,1,1.0,3.0,22800.0,20000_24999,1,other_female_householder,has_65_plus,10.0,2
donor_h0000814,08900,4,1,1,1.0,6.0,24800.0,20000_24999,1,nonfamily_not_living_alone,no_65_plus,4.0,1
donor_h0000815,08900,7,2,1,3.0,1.0,110200.0,100000_124999,3,married_couple,has_65_plus,7.0,2
donor_h0000816,08900,10,3,1,4.0,3.0,47700.0,45000_49999,4_plus,other_female_householder,no_65_plus,10.0,3
donor_h0000817,08900,12,2,1,1.0,7.0,10500.0,10000_14999,1,nonfamily_not_living_alone,no_65_plus,12.0,2
donor_h0000818,08900,25,5,1,1.0,1.0,8000.0,lt_10000,1,married_couple,no_65_plus,25.0,5
donor_h0000819,08900,8,1,1,2.0,4.0,33600.0,30000_34999,2,nonfamily_living_alone,has_65_plus,8.0,1
donor_h0000820,08900,13,1,1,1.0,6.0,10200.0,10000_14999,1,nonfamily_not_living_alone,no_65_plus,13.0,1
donor_h0000821,08900,2,2,1,1.0,3.0,28900.0,25000_29999,1,other_female_householder,has_65_plus,2.0,2
donor_h0000822,08900,7,2,1,2.0,1.0,89900.0,75000_99999,2,married_couple,has_65_plus,7.0,2
donor_h0000823,08900,9,2,1,0.0,1.0,67400.0,60000_74999,0,married_couple,has_65_plus,9.0,2
donor_h0000824,08900,12,1,1,1.0,6.0,300.0,lt_10000,1,nonfamily_not_living_alone,no_65_plus,12.0,1
donor_h0000825,08900,9,1,1,2.0,6.0,6750.0,lt_10000,2,nonfamily_not_living_alone,has_65_plus,9.0,1
donor_h0000826,08900,14,1,1,2.0,4.0,30000.0,30000_34999,2,nonfamily_living_alone,no_65_plus,14.0,1
