sample_id,source_puma,vintage,weight,household_size,household_income,vehicle_count,household_structure,household_older_adult_presence,householder_age_group,hincp_2018_dollars,vehicles_raw,hht_raw
pums_ca_08900_03718,0608900,2018,61,2,60000_74999,3,married_couple,no_65_plus,35_64,64000,3,1
pums_ca_08900_03719,0608900,2018,14,3,200000_plus,2,married_couple,no_65_plus,35_64,262500,2,1
pums_ca_08900_03720,0608900,2018,10,2,35000_39999,2,married_couple,has_65_plus,65_plus,37400,2,1
pums_ca_08900_03721,0608900,2018,19,1,200000_plus,1,nonfamily_living_alone,no_65_plus,35_64,372000,1,4
pums_ca_08900_03722,0608900,2018,42,3,75000_99999,2,other_male_householder,no_65_plus,18_34,93800,2,2
pums_ca_08900_03723,0608900,2018,11,2,75000_99999,2,married_couple,has_65_plus,65_plus,88000,2,1
pums_ca_08900_03724,0608900,2018,8,2,45000_49999,2,married_couple,has_65_plus,65_plus,49900,2,1
pums_ca_08900_03725,0608900,2018,17,3,10000_14999,0,married_couple,no_65_plus,18_34,14400,0,1
pums_ca_08900_03726,0608900,2018,22,2,75000_99999,4_plus,married_couple,has_65_plus,65_plus,98700,4,1
pums_ca_08900_03727,0608900,2018,11,1,lt_10000,0,nonfamily_living_alone,no_65_plus,35_64,5500,0,4
pums_ca_08900_03728,0608900,2018,13,5,30000_34999,3,married_couple,no_65_plus,18_34,34200,3,1
pums_ca_08900_03729,0608900,2018,3,1,20000_24999,1,nonfamily_not_living_alone,no_65_plus,35_64,23000,1,6
pums_ca_08900_03730,0608900,2018,17,2,25000_29999,1,other_female_householder,has_65_plus,65_plus,29000,1,3
pums_ca_08900_03731,0608900,2018,10,2,150000_199999,2,married_couple,no_65_plus,35_64,150000,2,1
pums_ca_08900_03732,0608900,2018,13,4,75000_99999,3,married_couple,no_65_plus,35_64,84900,3,1
pums_ca_08900_03733,0608900,2018,19,2,40000_44999,1,other_female_householder,has_65_plus,65_plus,40400,1,3
pums_ca_08900_03734,0608900,2018,22,1,10000_14999,1,nonfamily_not_living_alone,has_65_plus,65_plus,11600,1,6
pums_ca_08900_03735,0608900,2018,9,2,25000_29999,2,other_male_householder,has_65_plus,65_plus,27600,2,2
pums_ca_08900_03736,0608900,2018,15,1,10000_14999,1,nonfamily_not_living_alone,no_65_plus,35_64,14000,1,6
pums_ca_08900_03737,0608900,2018,2,3,50000_59999,2,other_male_householder,has_65_plus,65_plus,57600,2,2
pums_ca_08900_03738,0608900,2018,26,1,75000_99999,1,nonfamily_living_alone,has_65_plus,65_plus,99900,1,4
pums_ca_08900_03739,0608900,2018,12,1,60000_74999,1,nonfamily_living_alone,no_65_plus,35_64,66000,1,4
pums_ca_08900_03740,0608900,2018,13,1,20000_24999,2,nonfamily_living_alone,no_65_plus,35_64,24000,2,4
pums_ca_08900_03741,0608900,2018,9,2,150000_199999,2,married_couple,no_65_plus,35_64,151000,2,1
pums_ca_08900_03742,0608900,2018,29,7,100000_124999,4_plus,other_female_householder,has_65_plus,65_plus,114600,4,3
pums_ca_08900_03743,0608900,2018,14,2,30000_34999,2,nonfamily_living_alone,no_65_plus,35_64,31000,2,5
pums_ca_08900_03744,0608900,2018,13,2,45000_49999,4_plus,married_couple,no_65_plus,35_64,48100,4,1
pums_ca_08900_03745,0608900,2018,14,1,50000_59999,3,nonfamily_living_alone,has_65_plus,65_plus,54600,3,4
pums_ca_08900_03746,0608900,2018,19,2,35000_39999,1,married_couple,has_65_plus,65_plus,39300,1,1
pums_ca_08900_03747,0608900,2018,5,2,100000_124999,3,nonfamily_living_alone,no_65_plus,35_64,101500,3,5
pums_ca_08900_03748,0608900,2018,9,1,45000_49999,2,nonfamily_living_alone,no_65_plus,18_34,47000,2,4
pums_ca_08900_03749,0608900,2018,37,3,20000_24999,1,other_female_householder,no_65_plus,35_64,21300,1,3
pums_ca_08900_03750,0608900,2018,20,4,15000_19999,1,married_couple,no_65_plus,18_34,18000,1,1
pums_ca_08900_03751,0608900,2018,13,3,10000_14999,0,married_couple,has_65_plus,65_plus,10100,0,1
pums_ca_08900_03752,0608900,2018,17,2,50000_59999,4_plus,married_couple,has_65_plus,65_plus,54100,4,1
pums_ca_08900_03753,0608900,2018,11,2,150000_199999,2,married_couple,no_65_plus,18_34,151400,2,1
pums_ca_08900_03754,0608900,2018,16,1,35000_39999,4_plus,nonfamily_living_alone,has_65_plus,65_plus,37700,4,4
pums_ca_08900_03755,0608900,2018,15,1,lt_10000,2,nonfamily_living_alone,no_65_plus,35_64,1800,2,4
pums_ca_08900_03756,0608900,2018,16,7,150000_199999,3,married_couple,has_65_plus,65_plus,162900,3,1
pums_ca_08900_03757,0608900,2018,15,2,20000_24999,1,other_female_householder,has_65_plus,65_plus,24000,1,3
pums_ca_08900_03758,0608900,2018,15,2,15000_19999,1,married_couple,has_65_plus,65_plus,18200,1,1
pums_ca_08900_03759,0608900,2018,17,3,75000_99999,3,other_female_householder,has_65_plus,35_64,94300,3,3
pums_ca_08900_03760,0608900,2018,30,3,100000_124999,1,other_male_householder,no_65_plus,35_64,115000,1,2
pums_ca_08900_03761,0608900,2018,20,1,10000_14999,1,nonfamily_not_living_alone,no_65_plus,35_64,13600,1,6
pums_ca_08900_03762,0608900,2018,20,5,60000_74999,3,other_female_householder,has_65_plus,35_64,65700,3,3
pums_ca_08900_03763,0608900,2018,19,1,10000_14999,2,nonfamily_not_living_alone,has_65_plus,65_plus,11000,2,6
pums_ca_08900_03764,0608900,2018,22,2,15000_19999,1,married_couple,has_65_plus,65_plus,16400,1,1
pums_ca_08900_03765,0608900,2018,11,2,lt_10000,3,married_couple,has_65_plus,35_64,9900,3,1
pums_ca_08900_03766,0608900,2018,4,2,125000_149999,0,married_couple,no_65_plus,35_64,136240,0,1
pums_ca_08900_03767,0608900,2018,25,5,40000_44999,2,married_couple,no_65_plus,35_64,40400,2,1
pums_ca_08900_03768,0608900,2018,20,2,45000_49999,3,married_couple,has_65_plus,65_plus,47900,3,1
pums_ca_08900_03769,0608900,2018,4,2,125000_149999,4_plus,married_couple,has_65_plus,65_plus,148200,4,1
pums_ca_08900_03770,0608900,2018,12,6,60000_74999,2,married_couple,no_65_plus,35_64,71900,2,1
pums_ca_08900_03771,0608900,2018,3,2,75000_99999,2,married_couple,has_65_plus,65_plus,91400,2,1
pums_ca_08900_03772,0608900,2018,5,1,10000_14999,1,nonfamily_living_alone,no_65_plus,35_64,13000,1,4
